naslov,avtor,dolzina,zvrst,o_pisatelju
Mladenič,Fjodor Mihajlovič Dostojevski,964,roman,"Fjodor Mihajlovič Dostojevski (1821-1881) je fanatični izpra&scaron;evalec vesti družbe in sebe, največji psiholog v literaturi, v vrhu ruske literature in eden najpomembnej&scaron;ih romanopiscev svetovne književnosti. Njegova dela opisujejo politične, socialne in duhovne razmere v času ruskega imperija, ki je v 19. stoletju začel razpadati. &Scaron;olal se je doma, pridružil se je skupini utopičnih socialistov, zaradi česar so ga poslali na prisilno delo v Sibirijo in pozneje v vojsko. Po vrnitvi je začel pisati, poročil se je, nekaj časa je bil urednik pri časopisu. Pri Beletrini je do sedaj iz&scaron;lo več del Dostojevskega: Nespodobna anekdota, Dnevnik pisatelja I in Dnevnik pisatelja II, Zapiski iz podtalja, Zapiski iz mrtvega doma, Mladenič."
Iskanje izgubljenega časa + Petinsedemdeset listov,Marcel Proust,4792,roman,"Marcel Proust (1871-;1922) velja za velikana svetovne književnosti, naslednika francoskih realistov in znanilca moderne proze 20. stoletja. Po mladostnih poskusih, med katere sodi v sloven&scaron;čino prevedena zbirka Radosti in dnevi, je pri petintridesetih začel pisati Iskanje izgubljenega časa. Ta je nastajal do njegove smrti. Pari&scaron;ki saloni in obmorska letovi&scaron;ča so predstavljali Proustov resnični kot tudi literarni poligon. Pečat je pustil zlasti s podrobnimi opisi stvarnosti, pravzaprav evokacijami preteklih časov in prostorov, ki za posameznika niso ne zunanji in ne minljivi."
Mojstrovina,Ana Schnabl,220,roman,"Ana Schnabl (1985) pi&scaron;e za revijo Literatura in za spletni literarni portal AirBeletrina, sodelovala je tudi s časopisom Dnevnik. Od leta 2016 je urednica Evropske revije za poezijo, knjige in kulturo. Po mnenju urednika Urbana Vovka sodi njena zgodba &raquo;Trittico&laquo; med najintrigantnej&scaron;e stvaritve zadnjih let.&nbsp;"
Karantena,Alojz Ihan,436,roman,"Alojz Ihan (1961) je ugleden zdravnik, specialist klinične mikrobiologije, predstojnik Katedre za mikrobiologijo in imunologijo, redni profesor mikrobiologije in imunologije na Medicinski fakulteti Univerze v Ljubljani ter vodja Oddelka za imunologijo na In&scaron;titutu za mikrobiologijo Medicinske fakultete. Leto po diplomi na ljubljanski Medicinski fakulteti je pričel delovati na In&scaron;titutu za mikrobiologijo. Naziv doktor medicinskih znanosti je pridobil leta 1993, pred tem je dve leti deloval na Nacionalnem in&scaron;titutu za raziskavo raka v Genovi, po doktoratu pa raziskovalno gostoval v ZDA. Poleg strokovnega, pedago&scaron;kega in znanstvenoraziskovalnega dela se ukvarja tudi s književnostjo. Bil je urednik literarnih revij Problemi, Literatura in Sodobnost ter knjižne zbirke Aleph. Izdal je &scaron;est knjig poezije, tri romane, tri knjige esejev in dve poljudnoznanstveni knjigi. Za svoje literarno delo je prejel &scaron;tevilne nagrade, med njimi Jenkovo, Rožančevo in nagrado Pre&scaron;ernovega sklada."
Umetnina,Emile Zola,562,roman,"&Eacute;mile Zola (1840 -; 1902, Pariz, Francija) je eden najpomembnej&scaron;ih predstavnikov francoske književnosti 19. stoletja. Z znamenitim romanesknim ciklom <em>Rougon-Macquartovi</em>, v katerega sodi tudi roman <em>Umetnina,</em> je Zola v drugi polovici 19. stoletja utemeljil novo smer v romanopisju -; naturalistični roman."
To noč sem jo videl,Drago Jančar,180,roman,"Drago Jančar (1948), pisatelj, dramatik in esejist, velja za enega od najbolj uveljavljenih in prevajanih sodobnih slovenskih avtorjev. Najprej je deloval kot urednik, lektor in korektor pri Časopisu Večer, od leta 1981 in vse do svoje upokojitve 2016 pa je bil urednik in tajnik pri Slovenski matici. Za svoja dela je prejel mnoga najvidnej&scaron;a slovenska in mednarodna priznanja - leta 2020 je za svoj opus prejel avstrijsko državno nagrado za evropsko književnost, septembra 2021 pa tudi častni doktorat mariborske univerze."
Senčni ples,Alojz Rebula,420,roman,"Alojz Rebula (1924-;2018) je bil v &Scaron;empolaju pri Trstu rojeni pisatelj, esejist in publicist. Leta 1949 je diplomiral iz klasične filologije na Univerzi v Ljubljani, kjer je &scaron;tudiral tudi arheologijo in angle&scaron;čino. Leta 1960 je v Rimu doktoriral z disertacijo o Dantejevi Božanski komediji v slovenskih prevodih. Do upokojitve je poučeval latin&scaron;čino in gr&scaron;čino na vi&scaron;jih srednjih &scaron;olah s slovenskim učnim jezikom v Trstu. Vi&scaron;ek Rebulovega literarnega ustvarjanja predstavljajo romani Senčni ples (1960), V Sibilinem vetru (1968), ki je v italijanskem prevodu dobil mednarodno nagrado Acerbi, in Nokturno za Primorsko (2004), nagrajen s kresnikom. Alojz Rebula je že leta 1995 prejel Pre&scaron;ernovo nagrado za literarni opus, leta 2009 pa je postal redni član SAZU. S soprogo Zoro Tavčar je leta 2015 objavil knjigo spominov Dve mladosti, ena ljubezen."
Radetzkyjeva koračnica,Joseph Roth,,roman,"Joseph Roth (1894-;1939) je eden najpomembnej&scaron;ih pisateljev moderne avstrijske književnosti, izvrsten kronist 20. stoletja. Ob karieri novinarja med Berlinom in Parizom, poročanju iz Rusije, Poljske, Albanije, Italije in južne Francije, mu je uspelo ustvariti romane, ki jih danes postavljamo ob bok delom Franza Kafke in Roberta Musila. Živel je v hotelih, pisal na kavarni&scaron;kih mizah, med krvavimi dogodki v Evropi med svetovnima vojnama. Bil je izvrsten opazovalec in pričevalec časa, v sredi&scaron;če svojih romanov pa je postavil posameznika znotraj tragičnih mehanizmov zgodovine. Vzpenjajoči se tretji rajh, katerega nevarnost je kot novinar vizionarsko napovedal, ga je prisilil v izgnanstvo v Parizu, kjer je leta 1939 umrl."
Potujoče gledališče,Zoran Ferić,604,roman,"Zoran Ferić (1961, Zagreb, Hrva&scaron;ka) je predstavnik nove generacije hrva&scaron;kih pisateljev. Prejel je več nacionalnih nagrad, med drugim leta 2001 nagrado <em>Jutranjega lista </em>za najbolj&scaron;e prozno delo za roman <em>Kalendar</em> <em>Maja,</em> njegova dela so prevedena v več jezikov. Pri Beletrini je iz&scaron;la njegova zbirka kratkih zgodb <em>Blues za gospo z rdečimi madeži.</em>"
Trilogija kraljice slovenske kriminalke,Irena Svetek,1176,roman,"<strong>Irena Svetek</strong> (1975) je doktorirala na Oddelku za primerjalno književnost in literarno teorijo na Filozofski fakulteti v Ljubljani. Za prvi roman <em>Od blizu </em>je leta 2004 prejela nagrado Slovenskega knjižnega sejma za prvenec in nominacijo za kresnika. Napisala je &scaron;e romana <em>Sedmi val </em>(2008) in <em>Zaspi, mala moja, zaspi </em>(2014), zadnja leta pa se ukvarja predvsem s scenaristiko; napisala je scenarije za celovečerni film, kratke filme, več nanizank in nadaljevank. Leta 2021 je izdala <em>Rdečo kapico</em>, prvo v seriji psiholo&scaron;kih kriminalk, ki je postala uspe&scaron;nica, po njej je napisala tudi scenarij za televizijsko serijo. Drugi roman iz serije je <em>Beli volk </em>(2022) in ga prav tako pričakujemo na malih zaslonih. <em>Črni princ</em> v velikem slogu zaključuje trilogijo."
Severni sij,Drago Jančar,260,roman,"Drago Jančar (1948), pisatelj, dramatik in esejist, velja za enega od najbolj uveljavljenih in prevajanih sodobnih slovenskih avtorjev. Najprej je deloval kot urednik, lektor in korektor pri Časopisu Večer, od leta 1981 in vse do svoje upokojitve 2016 pa je bil urednik in tajnik pri Slovenski matici. Za svoja dela je prejel mnoga najvidnej&scaron;a slovenska in mednarodna priznanja - leta 2020 je za svoj opus prejel avstrijsko državno nagrado za evropsko književnost, septembra 2021 pa tudi častni doktorat mariborske univerze."
Dečki Pavlove ulice,Ferenc Molnár,196,roman,"Ferenc Molnar (1878&minus;1952)&nbsp;je eden najbolj znanih madžarskih avtorjev dvajsetega stoletja, ki je svetovno slavo dosegel prav z <em>Dečki Pavlove ulice</em>."
Zabubljena,Ana Marwan,212,roman,"Ana Marwan (1980) se je po &scaron;tudiju primerjalne književnosti na Filozofski fakulteti v Ljubljani leta 2005 preselila na Dunaj, kjer je leta 2008 prejela literarno nagrado Schreiben zwischen den Kulturen. Zadnjih &scaron;est let se posveča izključno pisanju dalj&scaron;ih in kraj&scaron;ih proznih besedil v nem&scaron;kem in slovenskem jeziku. Leta 2019 je pri avstrijski založbi Otto M&uuml;ller Verlag iz&scaron;el njen knjižni prvenec <em>Der Kreis des Weberknechts</em>. <em>Zabubljena</em> je njen drugi roman, ki je (drugače kot prvi) nastal v slovenskem jeziku. Avtorica je za roman prejela&nbsp;nagrado kriti&scaron;ko sito 2022.&nbsp;Za dvojezično knjižico Krota (Wechselkr&ouml;te) je avtorica Ana Marwan prejela prestižno nagrado Ingeborg Bachmann, eno izmed najpomembnej&scaron;ih literarnih nagrad v nem&scaron;kem prostoru."
Utrujenost materiala,Marek Šindelka,200,roman,"Marek &Scaron;indelka (1984) je eden najbolj priljubljenih, nagrajevanih in prevajanih če&scaron;kih avtorjev. V svojih delih združuje natančen jezik, prepričljivo naracijo in močan občutek za komunikacijo z bralci."
Če,Vesna Milek,237,roman,"Vesna Milek (1971) je novinarka, publicistka in pisateljica. Njeni romani so med najbolj branimi slovenskimi romani. Zadnji, biografski roman <em>Cavazza,</em> ki ga je navdihnilo življenje enega največjih slovenskih igralcev, je doživel več ponatisov in se &scaron;e tri leta po izidu obdržal na lestvicah najbolj prodajanih in najbolj branih knjig v Sloveniji."
Opričnikov dan,Vladimir Sorokin,208,roman,"Vladimir Sorokin (1955) je eden najbolj&scaron;ih in najprepoznavnej&scaron;ih sodobnih ruskih pisateljev. Postmodernistično fikcijo v svojih delih prepleta z elementi distopije, satire in sovjetskih motivov. Prejel je vse najpomembnej&scaron;e ruske literarne nagrade, med drugim pa je bil tudi finalist za mednarodno nagrado man booker."
"V petek so sporočili, da bo v nedeljo konec sveta",Nejc Gazvoda,284,roman,"Nejc Gazvoda (1985, Novo mesto) je pisatelj in režiser. Za svoje prvo delo, zbirko kratke proze <em>Vevericam nič ne uide</em>, je 2006 prejel nagrado Dnevnikova fabula za najbolj&scaron;o zbirko kratke proze ter nagrado zlata ptica. Njegov drugi roman<em> Sanjajo tisti, ki preveč spijo</em> je iz&scaron;el leta 2007, leta 2009 je sledil &scaron;e roman<em> V petek so sporočili, da bo v nedeljo konec sveta</em>."
Dora in Minotaver,Slavenka Drakulić,236,roman,"Slavenka Drakulić (1949)&nbsp;je novinarka in ena najuspe&scaron;nej&scaron;ih ter najbolj prevajanih hrva&scaron;kih avtoric. Do danes je objavila trinajst knjig, nekatere od njih so prevedene v več kot dvajset jezikov. V svojih publicističnih delih se ukvarja s temami, kot so feminizem, komunizem in postkomunizem, napisala pa je tudi več izjemno uspe&scaron;nih romanov, ki so bili deležni množičnega bralskega in naklonjenega kriti&scaron;kega odziva na Hrva&scaron;kem ter po svetu."
Ponovitev,Peter Handke,276,roman,"Peter Handke (1942) je eden največjih živečih avtorjev na svetu. Za svoj izredno obsežen in kakovosten opus, ki obsega dramska besedila, filmske scenarije, poezijo in prozo, je leta 2019 prejel Nobelovo nagrado. Njegov slog je senzibilen, jezik izredno muzikalen in poetičen, prikaz dogajanja izostren in neizprosno iskren. Po materi ima Handke tudi koro&scaron;koslovenske korenine, Slovenija oziroma &scaron;e bolj Jugoslavija pa v njegovih delih zavzema mesto pravljične &raquo;devete dežele&laquo;, ki jo avtor (pretirano) idealizira. V skoraj vsakem njegovem delu najdemo čudovite opise Slovenije, sam je tudi prevajal dela slovenskih avtorjev (Florjana Lipu&scaron;a, Gustava Janu&scaron;a, Fabjana Hafnerja). V sloven&scaron;čino je prevedenih več njegovih del."
V četrtek ob šestih,Lucija Stepančič,200,roman,"Lucija Stepančič (1969, Ljubljana) je po izobrazbi akademska slikarka in restavratorka specialistka. V slovenski literarni prostor je vstopila kot prozaistka in literarna kritičarka. Profilirani, ostri in lucidni kriti&scaron;ki zapisi (objavljala jih je predvsem v reviji <em>Sodobnost</em>, v <em>Književnih listih </em>in v <em>Dnevniku</em>) so ji leta 2003 prinesli Stritarjevo nagrado za najbolj&scaron;ega mladega literarnega kritika. Pi&scaron;e kratko prozo, romane in poezijo.&nbsp;"
Profesor Unrat ali Tiranov konec,Heinrich Mann,344,roman,"Heinrich Mann (1871-;1950) je bil starej&scaron;i brat Thomasa Manna. Brata pisatelja sta tekmovala vse življenje, mlaj&scaron;i je bil daleč uspe&scaron;nej&scaron;i. Heinrich je bil upornik, nadut in bolj bridek, Thomas pa elegantnej&scaron;i, ranljiv in bolj prilagodljiv. V eksilu v ZDA, kamor so Mannovi pobegnili pred nacisti, je ostal starej&scaron;i brez prihodkov in ga je preživljal mlaj&scaron;i. Heinrich je pri osemnajstih zapustil gimnazijo in dom v L&uuml;becku ter v Dresdnu pričel uk za knjigarja in neplačano delal pri založbi S. Fischer. Leto zatem je že objavljal, bolezen pljuč ga je privedla nazaj v okrilje družine in do izida Profesorja Unrata ni bilo več daleč."
Patriarhova jesen,Gabriel García Márquez,300,roman,"Kolumbijski pisatelj Gabriel Garc&iacute;a M&aacute;rquez (1927-;2014) velja za enega najpomembnej&scaron;ih pisateljev 20. stoletja. Za svoje delo je prejel najprestižnej&scaron;e literarne nagrade. Rekorde branosti je požel z mojstrovino Sto let samote, ki je prevedena v 46 jezikov in prodana v več kot 50 milijonov izvodih, podobno popularnost pa je doživel tudi z romanoma Ljubezen v času kolere in Kronika napovedane smrti. Največji pričevalec Latinske Amerike, najslavnej&scaron;i mojster magičnega realizma, živa legenda -; to je le nekaj opisov, ki so ga spremljali v času pisateljske kariere in s katerimi ga bralci in kritiki slavijo &scaron;e danes. Odra&scaron;čal je med ženskami in zaradi zgodb, ki so mu jih ves čas pripovedovale babica, teta ter indijanske služkinje, so ga tlačile more -; dokler jih ni začel prelivati na papir. Ko so mu leta 1982 podelili Nobelovo nagrado, so zapisali: &raquo;Za romane in novele, kjer se fantastičnost in resničnost spajata v bogato vsestranskost pesni&scaron;kega sveta, iz katerega odsevajo življenje in konflikti celine ...&laquo;"
Petelinje jajce,Feri Lainšček,356,roman,"Pisatelj, pesnik, dramatik in scenarist Feri Lain&scaron;ček (1959) živi in ustvarja v Murski Soboti. Njegova bibliografija obsega več kot 100 samostojnih knjižnih enot, med katerimi je 25 romanov, ki so večinoma že prevedeni v tuje jezike. Za svoja dela je prejel &scaron;tevilne nagrade: leta 1995 je za roman <em>Ki jo je megla prinesla</em> prejel nagrado Pre&scaron;ernovega sklada, leta 2021 pa Pre&scaron;ernovo nagrado za življenjsko delo. Kresnika je prejel dvakrat, leta 1992 za roman <em>Namesto koga roža cveti</em> in leta 2007 za roman <em>Muri&scaron;a</em>. Večernico je prejel leta 2001 za knjigo pravljic <em>Mislice</em>, desetnico leta 2012 za knjigo <em>Pesmi o Mi&scaron;ku in Belami&scaron;ki</em>. Z romanom <em>Kurji pastir</em> je bil znova uvr&scaron;čen med pet finalistov za nagrado kresnik. Feri Lain&scaron;ček je tudi slovenski pisatelj, čigar literarna dela so doživela največ filmskih adaptacij (Halgato, Moku&scaron;, Petelinji zajtrk, &Scaron;anghaj &hellip;)."
Nadvse bistra bitja,Shelby Van Pelt,368,roman,"Shelby Van Pelt se je rodila in odra&scaron;čala ob Tihem oceanu. Za svoj prvenec je navdih na&scaron;la ob gledanju kratkega filma o neverjetno inteligentni hobotnici ter v priljubljenem akvariju, kjer je preživela veliko ur svojega otro&scaron;tva. Z možem in dvema otrokoma živi v okolici Chicaga."
Monsieur ali Vladar teme,Lawrence Durrell,372,roman,"Lawrence Durrell (1912-;1990) je eden najslavnej&scaron;ih in najbolje prodajanih angle&scaron;kih romanopiscev poznega 20. stoletja. Rojen je bil v Indiji, v &scaron;olo pa je bil poslan v Anglijo, kjer, vajen raznolikih vplivov Orienta, ni zdržal, zato je mater prepričal, da se z družino preselijo na otok Krf. V Grčiji je ostal do druge svetovne vojne, med katero je s čolnom zbežal na Kreto in od tam v Egipt. V Kairu in Aleksandriji je ostal do konca vojne in tam opravljal službo tiskovnega diplomata pri angle&scaron;kem &scaron;tabu za Srednji vzhod. Rezultat vtisov iz severne Afrike, Sredozemlja in Male Azije je&nbsp;<em>Aleksandrijski kvartet</em>, ki ga je napisal mnogo let pozneje, v &scaron;estdesetih letih prej&scaron;njega stoletja, ko je živel v Franciji, in sicer v Languedocu v vasici Sommi&egrave;res, kjer je ustvaril tudi&nbsp;<em>Avignonski kvintet</em>."
Zadnja beseda,Hanif Kureishi,291,roman,"Hanif Kureishi (1954) je danes zagotovo eno najpomembnej&scaron;ih imen sodobne britanske proze. Zaslovel je že z romanesknim prvencem <em>Buda iz predmestja</em> (1990), prevedenim v več kot dvajset jezikov, leta 1999 iz&scaron;el tudi v sloven&scaron;čini. V sloven&scaron;čini lahko beremo tudi <em>Intimnost</em>, <em>Mavrično znamenje in druge spise</em>, dramo <em>Primestje</em>, <em>Črni album</em>, <em>Nekaj ti moram povedati</em>, <em>Polnoč ves dan</em>, <em>Telo</em> in <em>Zadnja beseda</em>. Kureishi je tudi plodovit in uspe&scaron;en dramatik in scenarist. Za svoja dela je prejel vrsto nagrad, med drugimi nagrado Whitbread za najbolj&scaron;i prvi roman in nominacijo za oskarja za scenarij filma <em>Moja čudovita pralnica</em>."
Briljantna domislica gospodične Šibata,Emi Yagi,136,roman,"Emi Yagi se je rodila leta 1988 v japonski prefekturi Nagano. Diplomirala je iz kulturologije v Tokiu, kjer zdaj ureja priljubljeno žensko revijo. Kot pisateljica je debitirala leta 2020 in za kratki roman Briljantna domislica gospodične &Scaron;ibata istega leta prejela prestižno nagrado Osamuja Dazaija, ki jo podeljujejo najbolj&scaron;im prvencem. Kasneje je izdala &scaron;e roman Ko se muzej zapre (When the Museum is Closed)."
Časovno zaklonišče,Georgi Gospodinov,360,roman,"Georgi Gospodinov (rojen leta 1968 v Jambolu), bolgarski pisatelj, pesnik in dramatik, sodi med uveljavljene evropske avtorje in je najbolj prevajan bolgarski avtor po padcu komunizma leta 1989. Njegov prozni prvenec <em>Naravni roman</em> (1999; slovenski prevod leta 2005) je iz&scaron;el v več kot dvajsetih jezikih. Za drugi roman, <em>Fiziko žalosti</em> (2011; slovenski prevod 2015), je osvojil več nagrad, med drugim za roman leta v Bolgariji, uvr&scaron;čen pa je bil tudi med finaliste sedmih različnih priznanj za najbolj&scaron;o knjigo. Za roman <em>Časovno zakloni&scaron;če</em>, ki je preveden v več kot petindvajset jezikov, je prejel prestižni književni nagradi&nbsp;-;&nbsp;nagrado booker (The International Booker Prize 2023) in in nagrado strega (Premio Strega Europeo).<br />
Gospodinov pi&scaron;e tudi poezijo in drame, je avtor grafičnega romana, nekaj knjig kratkih zgodb in libreta za opero. <em>Slepa Vaj&scaron;a</em>, kratki animirani film, narejen po njegovi istoimenski zgodbi, je bil leta 2017 v najožjem izboru za oskarja. Živi v različnih krajih, kamor ga odvedejo knjige."
Črni princ,Irena Svetek,424,roman,"<strong>Irena Svetek</strong> (1975) je doktorirala na Oddelku za primerjalno književnost in literarno teorijo na Filozofski fakulteti v Ljubljani. Za prvi roman <em>Od blizu </em>je leta 2004 prejela nagrado Slovenskega knjižnega sejma za prvenec in nominacijo za kresnika. Napisala je &scaron;e romana <em>Sedmi val </em>(2008) in <em>Zaspi, mala moja, zaspi </em>(2014), zadnja leta pa se ukvarja predvsem s scenaristiko; napisala je scenarije za celovečerni film, kratke filme, več nanizank in nadaljevank. Leta 2021 je izdala <em>Rdečo kapico</em>, prvo v seriji psiholo&scaron;kih kriminalk, ki je postala uspe&scaron;nica, po njej je napisala tudi scenarij za televizijsko serijo. Drugi roman iz serije je <em>Beli volk </em>(2022) in ga prav tako pričakujemo na malih zaslonih. <em>Črni princ</em> v velikem slogu zaključuje trilogijo."
"Mož, ki je videl vse",Deborah Levy,264,roman,"Deborah Levy (1959) je ena najpomembnej&scaron;ih sodobnih britanskih pisateljic in dramatičark in spada v svetovni literarni kanon. Njena mojstrska avtobiografija v nastajanju (<em>Things I Don&rsquo;t Want to Know, The Cost of Living</em>) velja za prelomno delo avtofikcije ter esejistični presežek. Njeni romani so bili večkrat nominirani za nagrado man booker, tudi<em> Mož, ki je videl vse</em> (2019)."
Knjiga drugih,Jela Krečič,330,roman,"Jela Krečič (1979) je novinarka, publicistka, filozofinja. Je sourednica dveh zbornikov, posvečenih filmu in TV-nadaljevanki, uredila je tudi zbornik politične misli The Final Countdown. Deset let deluje kot novinarka, komentatorka in kolumnistka v kulturni redakciji Dela."
Očetov sinko,Dino Pešut,188,roman,"Dino Pe&scaron;ut (1990) je hrva&scaron;ki dramaturg, pisatelj in pesnik. Na Akademiji dramske umetnosti v Zagrebu je končal &scaron;tudij dramaturgije. Kot dramaturg sodeluje z različnimi gledali&scaron;či doma in na tujem. Nekaj let je živel v Berlinu in leta 2018 prejel prestižno gledali&scaron;ko nagrado, namenjeno mladim avtorjem Deutscher Jugendtheaterpreis, njegova dramska dela pa zelo pogosto prejemajo tudi ugledne hrva&scaron;ke nagrade. Iz območja gledali&scaron;ke umetnosti je avtor v vstopil tudi na področje literature in leta 2017 izdal svoj prozni prvenec Odrgnjena kolena, s katerim je navdu&scaron;il hrva&scaron;ko literarno kritiko in bralstvo. Podobnega odziva je bil deležen tudi Očetov sinko."
Otroci,Milena Marković,174,roman,"Milena Marković (1974) je srbska pesnica, režiserka, scenaristka in univerzitetna profesorica. Za knjigo <em>Ptičje oko na tarabi</em> je leta 2010 prejela<br />
ugledni pesni&scaron;ki nagradi Biljane Jovanović in Đure Jak&scaron;ića. Njene drame so izvajane na &scaron;tevilnih domačih in mednarodnih odrih, kjer uživajo velike uspehe. Med &scaron;tevilnimi nagradami za drame je leta 2007 prejela tudi nagrado Milo&scaron;a Crnjanskega za knjigo 3 drame. Napisala je scenarije za filme <em>Olega Novkovića</em>, <em>Jutri zjutraj </em>(2007), <em>Beli, beli svet&nbsp;</em>(2009) in <em>Zapu&scaron;čina </em>(2015). Je izredna profesorica na Fakulteti za dramske umetnosti v Beogradu, kjer dela na katedri za dramaturgijo."
Mileva Einstein. Teorija žalosti,Slavenka Drakulić,210,roman,"Slavenka Drakulić (1949)&nbsp;je novinarka in ena najuspe&scaron;nej&scaron;ih ter najbolj prevajanih hrva&scaron;kih avtoric. Do danes je objavila trinajst knjig, nekatere od njih so prevedene v več kot dvajset jezikov. V svojih publicističnih delih se ukvarja s temami, kot so feminizem, komunizem in postkomunizem, napisala pa je tudi več izjemno uspe&scaron;nih romanov, ki so bili deležni množičnega bralskega in naklonjenega kriti&scaron;kega odziva na Hrva&scaron;kem ter po svetu."
Maršalinja,Zora del Buono,,roman,"Zora del Buono (1962) se je rodila v Z&uuml;richu, po &scaron;tudiju arhitekture pa je kot arhitektka delala v Berlinu. Poleg tega je soustanovila literarno revijo mare, s katero je sodelovala kot urednica in avtorica. Prvi roman je objavila leta 2008 in z njim takoj pritegnila bralsko in kriti&scaron;ko pozornost. Izdala je &scaron;e tri romane, napisala pa je tudi dva potopisa. Za roman Big Sue (2010) je leta 2012 prejela ITB Book Award. Njeno zadnje in zelo odmevno delo je družinski roman Mar&scaron;alinja (2020). Življenje in delo Zore del Buono sta razpeta med ZDA, &Scaron;vico in Nemčijo."
Tujka,Stefan Hertmans,342,roman,"Stefan Hertmans (1951) je eden izmed najvidnej&scaron;ih in najbolj profiliranih flamskih avtorjev, doma in v tujini nagrajevani pesnik, pisatelj in esejist z zavidljivim opusom ter predavatelj na najuglednej&scaron;ih evropskih univerzah. Stalni gost mednarodnih podijev domače in tuje bralce navdu&scaron;uje s svojimi eruditskimi, poetičnimi besedili, v katerih se pogosto dotika tem spominjanja, otro&scaron;tva ter odnosa med domi&scaron;ljijo in resničnostjo. Kljub že več kot tri desetletja trajajoči uspe&scaron;ni pisateljski karieri pa je avtor največji preboj zagotovo storil s svojim&nbsp;zadnjim romanom <em>Vojna in terpentin.</em>"
Šumenje gozda,Damir Karakaš,148,roman,"Damir Karaka&scaron; (1967) je v zadnjem desetletju zanesljivo najbolj razvpit, prevajan in nagrajevan hrva&scaron;ki pisatelj. Njegovi romani <em>&Scaron;umenje gozda</em>, <em>Proslava</em> in <em>Obračali&scaron;če</em> nagovarjajo bralca z minucioznim, vendar taktnim in tehtnim slogom, ki ne zmanj&scaron;uje semantičnih dimenzij teksta. Karaka&scaron; se je rodil v vasi Pla&scaron;čica pri Brinju v Liki. Nekaj let je bil novinar črne kronike <em>Večernjega lista</em> v Splitu, že s svojimi prvimi romani pa je postal eden najbolj prepoznavnih hrva&scaron;kih avtorjev 21. stoletja. Je eden redkih hrva&scaron;kih pisateljev, ki tematizira življenje v Liki in se pogosto vrača k zgodovinskim turbulencam, ki so jo zaznamovale. Njegove knjige so prevedene v deset jezikov, prejel je vse vidnej&scaron;e hrva&scaron;ke nagrade, ki se podeljujejo za prozo. Njegova najbolj pomembna dela so <em>Kino Lika</em>, <em>&Scaron;umenje</em> <em>gozda</em>, <em>Proslava</em> in <em>Obračali&scaron;če</em>. Po Karaka&scaron;evih romanih je bilo posnetih več filmov, redno pa se prirejajo tudi za gledali&scaron;ke odre."
Stalinove krave,Sofi Oksanen,536,roman,"Sofi Oksanen (1977, Jyv&auml;skyl&auml;, Finska) je danes ena najbolj priznanih, mednarodno uveljavljenih finskih pisateljic mlaj&scaron;e in srednje generacije. Dela družbeno kritične in angažirane avtorice so prevedena v več kot 50 jezikov."
Vlažne duše,Mohor Hudej,202,roman,"Mohor Hudej (1968, Celje) je &scaron;tudiral filozofijo, zgodovino in primerjalno književnost. Zaposlen je kot knjižničar, sicer pa je tudi turistični vodnik. Leta 1995 je izdal odmevno zbirko proze <em>Mumps v zrelih letih</em>. <em>Vlažne</em> <em>du&scaron;e</em> je njegov romaneskni prvenec."
Opraviti z Eddyjem,Édouard Louis,180,roman,"&Eacute;douard Louis (1992) je bržkone najslavnej&scaron;i pisatelj generacije, rojene v devetdesetih letih, francoski čudežni deček, čigar literarni prvenec&nbsp;<em>Opraviti z Eddyjem</em>&nbsp;je preveden že v več kot trideset jezikov.&nbsp;<em>Eddyju</em>&nbsp;sta sledila &scaron;e dva romana, ki sta bila mednarodno prav tako zelo uspe&scaron;na,&nbsp;<em>Zgodovina nasilja</em>&nbsp;je zaživela tudi kot odrska priredba (praizvedba v režiji Thomasa Ostermeierja, Schaub&uuml;hne Berlin 2018), ki je bila uprizarjana po celem svetu, tudi v Sloveniji (Ivica Buljan, 2018). Kar je Didier Eribon med teoretiki in Xavier Dolan med filmarji, je Edouard Louis med sodobnimi literati. Politično precizno, intelektualno prepričljivo in emocionalno osupljivo delo.&nbsp;"
Jetnica,Marcel Proust,616,roman,"Marcel Proust (1871-;1922) velja za velikana svetovne književnosti, naslednika francoskih realistov in znanilca moderne proze 20. stoletja. Po mladostnih poskusih, med katere sodi v sloven&scaron;čino prevedena zbirka Radosti in dnevi, je pri petintridesetih začel pisati Iskanje izgubljenega časa. Ta je nastajal do njegove smrti. Pari&scaron;ki saloni in obmorska letovi&scaron;ča so predstavljali Proustov resnični kot tudi literarni poligon. Pečat je pustil zlasti s podrobnimi opisi stvarnosti, pravzaprav evokacijami preteklih časov in prostorov, ki za posameznika niso ne zunanji in ne minljivi."
